,id,city_state,name,address,current_opening_hours,business_status,latitude,longitude,weekday_text,viewport,tipologia,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,ChIJS5S7vE13GZURUQ-kdB8a5_U,Porto Alegre/RS,Uniair Táxi Aéreo e Transporte Aeromédico,"Av. Sertório, 1988 - Navegantes, Porto Alegre",True,OPERATIONAL,-30.0033143,-51.18501639999999,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","{'northeast': {'lat': -30.00195982010728, 'lng': -51.18366607010729}, 'southwest': {'lat': -30.00465947989272, 'lng': -51.18636572989273}}",aeroporto,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59
1,ChIJu0jdIwB6GZURzDFrDWXckR4,Porto Alegre/RS,Líder Aviação - Aeroporto Internacional Salgado Filho,"Porto Alegre–Salgado Filho Int'l Airport - Av. Sertório, 1988 - Anchieta, Porto Alegre",True,OPERATIONAL,-30.0023643,-51.1848177,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20095:00\u202fPM']","{'northeast': {'lat': -30.00093762010728, 'lng': -51.18344777010727}, 'southwest': {'lat': -30.00363727989272, 'lng': -51.18614742989272}}",aeroporto,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
2,ChIJj8HV7vF5GZURnHmwycIrQCQ,Porto Alegre/RS,Hotel Intercity Aeroporto Porto Alegre,"R. Prof. Sarmento Barata, 360 - Navegantes, Porto Alegre",True,OPERATIONAL,-29.9978288,-51.1944316,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","{'northeast': {'lat': -29.99648432010728, 'lng': -51.19291682010728}, 'southwest': {'lat': -29.99918397989272, 'lng': -51.19561647989272}}",aeroporto,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59
3,ChIJQ6X8TvB5GZURzFPO2oLj6Mw,Porto Alegre/RS,Hotel Express Aeroporto,"Av. Farrapos, 4655 - Navegantes, Porto Alegre",True,OPERATIONAL,-29.9973779,-51.1920978,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","{'northeast': {'lat': -29.99599422010727, 'lng': -51.19066282010727}, 'southwest': {'lat': -29.99869387989272, 'lng': -51.19336247989271}}",aeroporto,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59
4,ChIJb4ivS-V5GZUR0Kkf5J9poiY,Porto Alegre/RS,Posto Shell,"Rua Edu Chaves, 120 - São João, Porto Alegre",True,OPERATIONAL,-29.9973536,-51.1880348,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","{'northeast': {'lat': -29.99605272010728, 'lng': -51.18697622010728}, 'southwest': {'lat': -29.99875237989273, 'lng': -51.18967587989272}}",aeroporto,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59
5,ChIJnzWK_Fp3GZURj1PdYEehmck,Porto Alegre/RS,Porto Alegre–Salgado Filho International Airport,"Av. Severo Dullius, 90.010 - Anchieta, Porto Alegre",True,OPERATIONAL,-29.9949419,-51.17632889999999,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","{'northeast': {'lat': -29.98056875, 'lng': -51.17283755}, 'southwest': {'lat': -29.99973294999999, 'lng': -51.18680295}}",aeroporto,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59
6,ChIJB2mWEf95GZUR69AXVyHUTzU,Porto Alegre/RS,Aeroporto,"Av. dos Estados, 1380 - Anchieta, Porto Alegre",Indisponível,OPERATIONAL,-29.9876845,-51.1831675,Não disponível,"{'northeast': {'lat': -29.98646547010728, 'lng': -51.18160512010727}, 'southwest': {'lat': -29.98916512989273, 'lng': -51.18430477989271}}",aeroporto,,,,,,,
7,ChIJt6UucAd5GZUR0x94GSE0pXU,Porto Alegre/RS,Aeromóvel - Estação Aeroporto Trensurb,"Humaitá, Porto Alegre",Indisponível,OPERATIONAL,-29.987446,-51.1827815,Não disponível,"{'northeast': {'lat': -29.98561902010728, 'lng': -51.18104187010727}, 'southwest': {'lat': -29.98831867989272, 'lng': -51.18374152989272}}",aeroporto,,,,,,,
8,ChIJT95oDv95GZURy-rMeE_T4iA,Porto Alegre/RS,Av. Dos Estados - Estação Aeroporto,"Humaitá, Porto Alegre",Indisponível,OPERATIONAL,-29.9875,-51.18261,Não disponível,"{'northeast': {'lat': -29.98561432010728, 'lng': -51.18102742010727}, 'southwest': {'lat': -29.98831397989272, 'lng': -51.18372707989272}}",aeroporto,,,,,,,
9,ChIJ21Zc8eJ3GZURZLqg8F8zktQ,Porto Alegre/RS,TAP Air Portugal,"Av. Severo Dullius, 90 - 010, Porto Alegre",False,OPERATIONAL,-29.9901314,-51.1771451,"['Monday: Closed', 'Tuesday: 2:10\u2009–\u20097:50\u202fPM', 'Wednesday: 2:10\u2009–\u20097:50\u202fPM', 'Thursday: Closed', 'Friday: Closed', 'Saturday: 2:10\u2009–\u20097:50\u202fPM', 'Sunday: 2:10\u2009–\u20097:50\u202fPM']","{'northeast': {'lat': -29.98858817010727, 'lng': -51.17617382010727}, 'southwest': {'lat': -29.99128782989272, 'lng': -51.17887347989272}}",aeroporto,,14:10 - 19:50,14:10 - 19:50,,,14:10 - 19:50,14:10 - 19:50
