,Tipologia,Dia,Horário
0,aeroporto,Monday,00:00 - 23:59
1,aeroporto,Tuesday,00:00 - 23:59
2,aeroporto,Wednesday,00:00 - 23:59
3,aeroporto,Thursday,00:00 - 23:59
4,aeroporto,Friday,00:00 - 23:59
5,aeroporto,Saturday,00:00 - 23:59
6,aeroporto,Sunday,00:00 - 23:59
7,aeroporto,Monday,09:00 - 17:00
8,aeroporto,Tuesday,09:00 - 17:00
9,aeroporto,Wednesday,09:00 - 17:00
10,aeroporto,Thursday,09:00 - 17:00
11,aeroporto,Friday,09:00 - 17:00
12,aeroporto,Saturday,09:00 - 17:00
13,aeroporto,Sunday,09:00 - 17:00
14,aeroporto,Monday,00:00 - 23:59
15,aeroporto,Tuesday,00:00 - 23:59
16,aeroporto,Wednesday,00:00 - 23:59
17,aeroporto,Thursday,00:00 - 23:59
18,aeroporto,Friday,00:00 - 23:59
19,aeroporto,Saturday,00:00 - 23:59
20,aeroporto,Sunday,00:00 - 23:59
21,aeroporto,Monday,00:00 - 23:59
22,aeroporto,Tuesday,00:00 - 23:59
23,aeroporto,Wednesday,00:00 - 23:59
24,aeroporto,Thursday,00:00 - 23:59
25,aeroporto,Friday,00:00 - 23:59
26,aeroporto,Saturday,00:00 - 23:59
27,aeroporto,Sunday,00:00 - 23:59
28,aeroporto,Monday,00:00 - 23:59
29,aeroporto,Tuesday,00:00 - 23:59
30,aeroporto,Wednesday,00:00 - 23:59
31,aeroporto,Thursday,00:00 - 23:59
32,aeroporto,Friday,00:00 - 23:59
33,aeroporto,Saturday,00:00 - 23:59
34,aeroporto,Sunday,00:00 - 23:59
35,aeroporto,Monday,00:00 - 23:59
36,aeroporto,Tuesday,00:00 - 23:59
37,aeroporto,Wednesday,00:00 - 23:59
38,aeroporto,Thursday,00:00 - 23:59
39,aeroporto,Friday,00:00 - 23:59
40,aeroporto,Saturday,00:00 - 23:59
41,aeroporto,Sunday,00:00 - 23:59
42,aeroporto,Tuesday,14:10 - 19:50
43,aeroporto,Wednesday,14:10 - 19:50
44,aeroporto,Saturday,14:10 - 19:50
45,aeroporto,Sunday,14:10 - 19:50
46,aeroporto,Monday,05:00 - 22:00
47,aeroporto,Tuesday,05:00 - 22:00
48,aeroporto,Wednesday,05:00 - 22:00
49,aeroporto,Thursday,05:00 - 22:00
50,aeroporto,Friday,05:00 - 22:00
51,aeroporto,Saturday,05:00 - 22:00
52,aeroporto,Sunday,05:00 - 22:00
53,aeroporto,Monday,05:00 - 23:00
54,aeroporto,Tuesday,05:00 - 23:00
55,aeroporto,Wednesday,05:00 - 23:00
56,aeroporto,Thursday,05:00 - 23:00
57,aeroporto,Friday,05:00 - 23:00
58,aeroporto,Saturday,05:00 - 23:00
59,aeroporto,Sunday,05:00 - 23:00
60,aeroporto,Monday,00:00 - 23:59
61,aeroporto,Tuesday,00:00 - 23:59
62,aeroporto,Wednesday,00:00 - 23:59
63,aeroporto,Thursday,00:00 - 23:59
64,aeroporto,Friday,00:00 - 23:59
65,aeroporto,Saturday,00:00 - 23:59
66,aeroporto,Sunday,00:00 - 23:59
67,aeroporto,Monday,08:00 - 22:00
68,aeroporto,Tuesday,08:00 - 22:00
69,aeroporto,Wednesday,08:00 - 22:00
70,aeroporto,Thursday,08:00 - 22:00
71,aeroporto,Friday,08:00 - 22:00
72,aeroporto,Saturday,12:00 - 16:00
73,aeroporto,Monday,00:00 - 23:59
74,aeroporto,Tuesday,00:00 - 23:59
75,aeroporto,Wednesday,00:00 - 23:59
76,aeroporto,Thursday,00:00 - 23:59
77,aeroporto,Friday,00:00 - 23:59
78,aeroporto,Saturday,00:00 - 23:59
79,aeroporto,Sunday,00:00 - 23:59
80,aeroporto,Monday,00:00 - 23:59
81,aeroporto,Tuesday,00:00 - 23:59
82,aeroporto,Wednesday,00:00 - 23:59
83,aeroporto,Thursday,00:00 - 23:59
84,aeroporto,Friday,00:00 - 23:59
85,aeroporto,Saturday,00:00 - 23:59
